time,coin,dir,px,sz,ntl,fee,closedPnl
19/12/2025 - 21:35:49,BTC,Close Long,88315,0.01136,1003.2584,0.451466,2.956534
19/12/2025 - 21:45:35,ETH,Open Long,3030.7106357337,0.3319,1005.892860000015,0.452651,-0.452651
19/12/2025 - 22:02:09,ETH,Long > Short,2992.1,0.3322,993.9756199999999,0.447289,-13.261948
19/12/2025 - 22:19:35,ETH,Close Short,3025,0.0003,0.9075,0.000408,-0.010278
19/12/2025 - 23:09:49,BTC,Open Long,88287.8823529412,0.017,1500.8940000000005,0.675401,-0.675401
19/12/2025 - 23:09:58,ETH,Open Long,3027.0195475113,0.3315,1003.4569799999961,0.451554,-0.451554
20/12/2025 - 00:16:24,ETH,Long > Short,2985.2,0.3331,994.3701199999999,0.447466,-14.307481000000001
20/12/2025 - 01:07:30,BTC,Close Long,88126,0.01702,1499.90452,0.674956,-3.425556
20/12/2025 - 01:24:58,ETH,Short > Long,3008.1291504053,0.3331,1002.0078200000055,0.450903,-0.487543
20/12/2025 - 01:28:29,ETH,Close Long,2979.1,0.3315,987.57165,0.444407,-10.064537
20/12/2025 - 01:58:07,ETH,Open Long,3006.8572929172,0.3332,1001.884850000011,0.450847,-0.450847
20/12/2025 - 02:14:45,BTC,Short > Long,88254,0.01133,999.91782,0.449963,-0.452523
20/12/2025 - 02:14:56,ETH,Close Long,2979.9,0.3331,992.60469,0.446672,-9.423717
20/12/2025 - 03:44:18,BTC,Close Long,88396,0.01131,999.75876,0.449891,1.156129
20/12/2025 - 14:21:22,ETH,Close Long,2970,0.0001,0.29700000000000004,0.000133,-0.0038179999999999998
